AssetPath,SourceType,SourceName,SourceUrl,License,Attribution,GeneratedBy,Notes
docs/samples/public/product/Battery_TabGap_OK.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery tab gap OK sample
docs/samples/public/product/Battery_TabGap_Narrow_NG.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery tab gap drift NG sample
docs/samples/public/product/Battery_WeldSpatter_OK.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery weld spatter OK sample
docs/samples/public/product/Battery_WeldSpatter_Heavy_NG.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery weld spatter NG sample
docs/samples/public/product/Battery_WeldOverburn_OK.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery weld overburn OK sample
docs/samples/public/product/Battery_WeldOverburn_Many_NG.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery weld overburn NG sample
docs/samples/public/product/Battery_TabTear_OK.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery tab tear OK sample
docs/samples/public/product/Battery_TabTear_Many_NG.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery tab tear NG sample
docs/samples/public/product/Battery_TabPlatingPeel_OK.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery tab plating peel OK sample
docs/samples/public/product/Battery_TabPlatingPeel_Many_NG.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery tab plating peel NG sample
docs/samples/public/product/Battery_ElectrolyteStain_OK.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery electrolyte stain OK sample
docs/samples/public/product/Battery_ElectrolyteStain_Heavy_NG.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery electrolyte stain NG sample
docs/samples/public/product/Battery_SeparatorWrinkle_OK.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery separator wrinkle OK sample
docs/samples/public/product/Battery_SeparatorWrinkle_Many_NG.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery separator wrinkle NG sample
docs/samples/public/product/Battery_SeparatorPinhole_OK.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery separator pinhole OK sample
docs/samples/public/product/Battery_SeparatorPinhole_Many_NG.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery separator pinhole NG sample
docs/samples/public/product/Battery_CoatingGap_OK.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery coating gap OK sample
docs/samples/public/product/Battery_CoatingGap_Narrow_NG.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery coating gap narrow NG sample
docs/samples/public/product/Battery_ForeignObject_OK.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery foreign object OK sample
docs/samples/public/product/Battery_ForeignObject_Many_NG.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery foreign object NG sample
docs/samples/public/product/Battery_EdgeBurr_OK.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery coating edge burr OK sample
docs/samples/public/product/Battery_EdgeBurr_Many_NG.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery coating edge burr NG sample
docs/samples/public/product/Battery_TabOffset_OK.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery tab offset OK sample
docs/samples/public/product/Battery_TabOffset_Shifted_NG.png,Synthetic,OpenVisionLab,,Repository license,,tools/GenerateOpenVisionProductSamples.ps1,Secondary battery tab offset shifted NG sample
